cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica,n_licitacoes,valor_homologado_total,n_dispensa,valor_hom_dispensa,ano_ultima_licitacao,pct_dispensa,alerta_dispensa
2516102,Soledade,14409,79.8,🟡 Risco Médio,6,113.1175,0.2143,0.57,1,1.0,0.15,0.0367724065219019,0.7294,0.7829,0.75,0.6714,10.941,27.4015,15.0,8.5,6.714,11.25,0.0,0.0,79.8065,79.8065,53.0,1.0,False,False,False,False,True,115.0,11739591.98,56.0,2649000.73,2026.0,0.2256,False
2508703,Mãe d'Água,3599,79.4,🟡 Risco Médio,5,87.905,0.184964,0.65,0,0.8333333333333334,0.0,0.0195718185191198,0.8953,0.7359,1.0,0.2712,13.4295,25.7565,12.5,10.0,2.712,15.0,0.0,0.0,79.398,79.398,53.0,1.0,False,False,False,False,True,121.0,3178146.13,55.0,892048.06,2026.0,0.2807,False
2502409,Bonito de Santa Fé,10433,79.3,🟡 Risco Médio,6,85.3215,0.324985,0.19,0,1.0,1.0,0.0232926472582309,0.7661,0.96,1.0,0.4169,11.4915,33.6,15.0,0.0,4.169,15.0,0.0,0.0,79.26050000000001,79.26050000000001,53.0,1.0,False,False,False,False,True,39.0,11142491.34,7.0,322647.41000000003,2026.0,0.029,False
2509008,Manaíra,10699,79.3,🟡 Risco Médio,5,105.6225,0.127045,0.0,0,0.8333333333333334,0.05,0.0280209800760065,0.9792,0.6433,1.0,0.5082,14.688,22.5155,12.5,9.5,5.082,15.0,0.0,0.0,79.2855,79.2855,53.0,1.0,False,False,False,False,True,38.0,5857332.77,0.0,0.0,2026.0,0.0,False
2513927,São Bentinho,4490,78.9,🟡 Risco Médio,6,87.523,0.219205,0.04,1,1.0,0.0,0.0146081225038307,0.8761,0.7907,0.75,0.1857,13.1415,27.6745,15.0,10.0,1.857,11.25,0.0,0.0,78.923,78.923,53.0,1.0,False,False,False,False,True,63.0,13836526.19,16.0,1158143.7,2026.0,0.0837,False
2500601,Alhandra,23065,78.9,🟡 Risco Médio,6,95.681,0.174456,1.7,0,1.0,1.0,0.0520390058555192,1.0,0.7191,1.0,0.8703,15.0,25.1685,15.0,0.0,8.703,15.0,0.0,0.0,78.8715,78.8715,53.0,1.0,False,False,False,False,True,133.0,61893953.97,103.0,22717260.080000002,2026.0,0.367,True
2514453,São José dos Ramos,6137,78.8,🟡 Risco Médio,6,90.662,0.354192,1.41,5,1.0,0.0,0.0245944628597869,1.0,1.0,0.0,0.3791,15.0,35.0,15.0,10.0,3.791,0.0,0.0,0.0,78.791,78.791,53.0,1.0,False,False,False,False,True,73.0,9470559.99,26.0,538646.0700000001,2026.0,0.0569,False
2512002,Pocinhos,18038,78.3,🟡 Risco Médio,6,137.049,0.136335,0.31,0,1.0,0.0,0.0432887013545095,0.5,0.6581,1.0,0.7724,7.5,23.0335,15.0,10.0,7.724,15.0,0.0,0.0,78.25750000000001,78.25750000000001,53.0,1.0,False,False,False,False,True,96.0,36891896.239999995,0.0,0.0,2026.0,0.0,False
2504074,Caraúbas,4067,78.2,🟡 Risco Médio,4,104.2721,0.180316,0.4,0,0.6666666666666666,0.05,0.0219430761182407,1.0,0.7285,1.0,0.3197,15.0,25.4975,10.0,9.5,3.197,15.0,0.0,0.0,78.1945,78.1945,53.0,1.0,False,False,False,False,True,44.0,16478842.86,5.0,142337.1,2026.0,0.0086,False
2504405,Conceição,18731,78.2,🟡 Risco Médio,6,100.9985,0.056609,0.46,0,1.0,0.0,0.032917963855012,1.0,0.4915,1.0,0.6021,15.0,17.2025,15.0,10.0,6.021,15.0,0.0,0.0,78.2235,78.2235,53.0,1.0,False,False,False,False,True,49.0,4677437.74,0.0,0.0,2026.0,0.0,False
2514602,São José do Bonfim,3337,78.0,🟡 Risco Médio,6,78.454,0.200112,0.09,0,1.0,0.0,0.0299324857410889,0.4227,0.7602,1.0,0.5082,6.3405,26.607,15.0,10.0,5.082,15.0,0.0,0.0,78.0295,78.0295,53.0,1.0,False,False,False,False,True,28.0,492536.7,2.0,0.0,2026.0,0.0,False
2514552,São José de Princesa,3323,77.7,🟡 Risco Médio,6,91.3105,0.173078,0.0,1,1.0,0.05,0.0147614544437225,1.0,0.7169,0.75,0.188,15.0,25.0915,15.0,9.5,1.88,11.25,0.0,0.0,77.72149999999999,77.72149999999999,53.0,1.0,False,False,False,False,True,21.0,309993.3,2.0,97708.3,2026.0,0.3152,True
2513158,Santa Cecília,8113,77.6,🟡 Risco Médio,6,115.0385,0.181018,0.02,0,1.0,0.05,0.0191584452359157,0.6654,0.7296,1.0,0.2632,9.981,25.536,15.0,9.5,2.632,15.0,0.0,0.0,77.649,77.649,53.0,1.0,False,False,False,False,True,52.0,737820.0,24.0,0.0,2026.0,0.0,False
2502508,Boqueirão,18216,77.2,🟡 Risco Médio,6,98.1845,0.046581,,0,1.0,0.0,0.0323121852103036,1.0,0.4665,1.0,0.5908,15.0,16.3275,15.0,10.0,5.908,15.0,0.0,0.0,77.2355,77.2355,53.0,1.0,False,False,False,False,True,56.0,36334549.71,0.0,0.0,2026.0,0.0,False
2512077,Poço de José de Moura,4126,77.2,🟡 Risco Médio,6,104.3465,0.631507,0.65,2,1.0,1.0,0.0283660483846118,1.0,1.0,0.5,0.4696,15.0,35.0,15.0,0.0,4.696,7.5,0.0,0.0,77.196,77.196,53.0,1.0,False,False,False,False,True,87.0,12475184.9,40.0,2914011.0300000003,2026.0,0.2336,False
