cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica
2506806,Ingá,18234,59.2,🟡 Risco Médio,6,105.2445,0.073157,0.02,5,1.0,1.0,0.0219610373321753,0.9918,0.6829,0.0,0.3919,19.836,20.487,15.0,0.0,3.919,0.0,0.0,0.0,59.24199999999999,59.24199999999999,33.0,1.0,False,False,False,False,True
2510204,Nova Olinda,5897,59.2,🟡 Risco Médio,5,99.7055,0.038792,4.28,0,0.8333333333333334,1.0,0.0245040095919953,1.0,0.597,1.0,0.377,20.0,17.91,12.5,0.0,3.77,5.0,0.0,0.0,59.18,59.18,33.0,1.0,False,False,False,False,True
2503506,Cacimba de Dentro,16332,59.0,🟡 Risco Médio,6,93.408,0.040725,1.43,5,1.0,1.0,0.0324067030565465,1.0,0.6018,0.0,0.5925,20.0,18.054,15.0,0.0,5.925,0.0,0.0,0.0,58.979,58.979,33.0,1.0,False,False,False,False,True
2512788,Riacho de Santo Antônio,2063,58.8,🟡 Risco Médio,6,94.7295,0.083355,0.71,6,1.0,1.0,0.0186551862339888,1.0,0.7084,0.0,0.2537,20.0,21.252,15.0,0.0,2.537,0.0,0.0,0.0,58.788999999999994,58.788999999999994,33.0,1.0,False,False,False,False,True
2513653,Joca Claudino,2607,58.8,🟡 Risco Médio,6,85.713,0.122066,0.12,6,1.0,1.0,0.0253071165365084,0.7856,0.8052,0.0,0.3957,15.712,24.156,15.0,0.0,3.957,0.0,0.0,0.0,58.824999999999996,58.824999999999996,33.0,1.0,False,False,False,False,True
2502102,Boa Ventura,5246,58.3,🟡 Risco Médio,5,97.1945,0.048261,,0,0.8333333333333334,1.0,0.0165685527543428,1.0,0.6207,1.0,0.2167,20.0,18.621,12.5,0.0,2.167,5.0,0.0,0.0,58.288,58.288,33.0,1.0,False,False,False,False,True
2504355,Caturité,5544,58.3,🟡 Risco Médio,6,102.25,-0.003661,0.08,0,1.0,1.0,0.0232555185187914,1.0,0.4927,1.0,0.3485,20.0,14.781,15.0,0.0,3.485,5.0,0.0,0.0,58.266,58.266,33.0,1.0,False,False,False,False,True
2510501,Olivedos,3675,58.3,🟡 Risco Médio,6,88.2245,0.014946,0.53,0,1.0,1.0,0.0252551965818157,0.9112,0.5374,1.0,0.3945,18.224,16.122,15.0,0.0,3.945,5.0,0.0,0.0,58.291000000000004,58.291000000000004,33.0,1.0,False,False,False,False,True
2508505,Livramento,7041,58.2,🟡 Risco Médio,6,82.573,0.091997,0.17,0,1.0,1.0,0.0245237952581769,0.6286,0.73,1.0,0.3774,12.572,21.9,15.0,0.0,3.774,5.0,0.0,0.0,58.245999999999995,58.245999999999995,33.0,1.0,False,False,False,False,True
2516409,Tacima,7794,58.1,🟡 Risco Médio,6,103.478,-0.006701,0.41,0,1.0,1.0,0.0233134622273623,1.0,0.4867,1.0,0.3498,20.0,14.601,15.0,0.0,3.498,5.0,0.0,0.0,58.099,58.099,33.0,1.0,False,False,False,False,True
2503902,Camalaú,6327,57.7,🟡 Risco Médio,6,80.7685,0.120212,0.13,0,1.0,1.0,0.0208382032706955,0.5384,0.8005,1.0,0.2965,10.768,24.015,15.0,0.0,2.965,5.0,0.0,0.0,57.748000000000005,57.748000000000005,33.0,1.0,False,False,False,False,True
2511103,Pedra Lavrada,6980,57.7,🟡 Risco Médio,6,119.774,0.113334,0.03,5,1.0,1.0,0.0527640947592586,0.5075,0.7833,0.0,0.9075,10.15,23.499,15.0,0.0,9.075,0.0,0.0,0.0,57.724000000000004,57.724000000000004,33.0,1.0,False,False,False,False,True
2507804,Junco do Seridó,7019,57.6,🟡 Risco Médio,6,77.118,0.08985,0.34,1,1.0,1.0,0.127853707385854,0.3559,0.7246,0.75,0.9999,7.118,21.738,15.0,0.0,9.999,3.75,0.0,0.0,57.605000000000004,57.605000000000004,33.0,1.0,False,False,False,False,False
